"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","brightness","correct_response","congruency","correct"
"58714","Welcome to the experiment. Press any key to begin.","enter","html-keyboard-response","0","58723","0.0-0.0","","","","",""
"11972","
      <p>In this task, you will see word in a color</p>
      <p style='color:red;font-size:60pt;'>BLUE</p>
      <p>Press r, g, b, or y to identify the color, not the word</p>
      <p>E.g., press r for red in this example</p>
      <p>Make your responses as quickly and accurately as possible</p>
      <p>Press any key to begin.</p>
      ","enter","html-keyboard-response","1","70698","0.0-1.0","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","74716","0.0-2.0-0.0","fixation","","","",""
"2414","<p style='font-size:60pt; opacity:.1; color:red;'>RED</p>","r","html-keyboard-response","3","77132","0.0-2.0-1.0","stroop","dim","r","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","4","79143","0.0-2.0-0.1","fixation","","","",""
"25335","<p style='font-size:60pt; opacity:.1; color:blue;'>RED</p>","b","html-keyboard-response","5","104480","0.0-2.0-1.1","stroop","dim","b","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","105490","0.0-2.0-0.2","fixation","","","",""
"1637","<p style='font-size:60pt; opacity:.1; color:blue;'>YELLOW</p>","b","html-keyboard-response","7","107129","0.0-2.0-1.2","stroop","dim","b","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","109141","0.0-2.0-0.3","fixation","","","",""
"3344","<p style='font-size:60pt; opacity:.1; color:yellow;'>GREEN</p>","y","html-keyboard-response","9","112486","0.0-2.0-1.3","stroop","dim","y","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","114493","0.0-2.0-0.4","fixation","","","",""
"2332","<p style='font-size:60pt; opacity:.1; color:red;'>GREEN</p>","r","html-keyboard-response","11","116826","0.0-2.0-1.4","stroop","dim","r","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","117852","0.0-2.0-0.5","fixation","","","",""
"1104","<p style='font-size:60pt; opacity:.1; color:red;'>RED</p>","r","html-keyboard-response","13","118957","0.0-2.0-1.5","stroop","dim","r","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","120966","0.0-2.0-0.6","fixation","","","",""
"1156","<p style='font-size:60pt; opacity:.1; color:blue;'>BLUE</p>","b","html-keyboard-response","15","122124","0.0-2.0-1.6","stroop","dim","b","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","123131","0.0-2.0-0.7","fixation","","","",""
"2136","<p style='font-size:60pt; opacity:.1; color:yellow;'>BLUE</p>","y","html-keyboard-response","17","125268","0.0-2.0-1.7","stroop","dim","y","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","127274","0.0-2.0-0.8","fixation","","","",""
"1506","<p style='font-size:60pt; opacity:.1; color:green;'>GREEN</p>","g","html-keyboard-response","19","128780","0.0-2.0-1.8","stroop","dim","g","Congruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","130812","0.0-2.0-0.9","fixation","","","",""
"1691","<p style='font-size:60pt; opacity:.1; color:red;'>YELLOW</p>","r","html-keyboard-response","21","132504","0.0-2.0-1.9","stroop","dim","r","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","134514","0.0-2.0-0.10","fixation","","","",""
"1896","<p style='font-size:60pt; opacity:.1; color:green;'>YELLOW</p>","g","html-keyboard-response","23","136412","0.0-2.0-1.10","stroop","dim","g","Incongruent","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","138438","0.0-2.0-0.11","fixation","","","",""
"2872","<p style='font-size:60pt; opacity:.1; color:red;'>BLUE</p>","r","html-keyboard-response","25","141312","0.0-2.0-1.11","stroop","dim","r","Incongruent","true"
